,bonus,bonusRate,branching,completed,condition,inspectCost,pid,startTime,with_feedback,version
186,0.0,0.0015,312,True,1,1,186,Fri Apr 06 2018 22:56:04 GMT-0400 (Eastern Daylight Time),True,A1.0
187,0.0,0.0015,312,True,1,1,187,Wed Apr 04 2018 15:19:10 GMT-0400 (Eastern Daylight Time),True,A1.0
188,0.0,0.0015,312,True,1,1,188,Fri Apr 06 2018 22:01:44 GMT-0400 (EDT),True,A1.0
189,0.0,0.0015,312,True,1,1,189,Wed Apr 04 2018 13:19:05 GMT-0600 (Mountain Standard Time),True,A1.0
190,0.0,0.0015,312,True,0,1,190,Fri Apr 06 2018 19:40:14 GMT-0400 (Eastern Daylight Time),False,A1.0
191,0.0,0.0015,312,True,1,1,191,Thu Apr 05 2018 10:41:07 GMT-0500 (Central Daylight Time),True,A1.0
192,0.0,0.0015,312,True,1,1,192,Wed Apr 04 2018 15:12:32 GMT-0500 (Central Daylight Time),True,A1.0
193,2.21,0.0015,312,True,1,1,193,Fri Apr 06 2018 23:04:36 GMT-0500 (Central Daylight Time),True,A1.0
194,0.0,0.0015,312,True,0,1,194,Sat Apr 07 2018 00:50:35 GMT-0500 (Central Daylight Time),False,A1.0
195,0.0,0.0015,312,True,1,1,195,Wed Apr 04 2018 15:21:17 GMT-0400 (Eastern Daylight Time),True,A1.0
196,0.0,0.0015,312,True,0,1,196,Thu Apr 05 2018 11:35:27 GMT-0400 (Eastern Daylight Time),False,A1.0
197,0.0,0.0015,312,True,0,1,197,Wed Apr 04 2018 14:23:26 GMT-0500 (Central Daylight Time),False,A1.0
198,0.0,0.0015,312,True,0,1,198,Wed Apr 04 2018 15:13:49 GMT-0500 (Central Daylight Time),False,A1.0
199,2.11,0.0015,312,True,1,1,199,Fri Apr 06 2018 18:36:15 GMT-0400 (Eastern Daylight Time),True,A1.0
200,0.0,0.0015,312,True,0,1,200,Fri Apr 06 2018 14:49:17 GMT-0700 (Pacific Daylight Time),False,A1.0
201,0.0,0.0015,312,True,0,1,201,Thu Apr 05 2018 11:59:06 GMT-0400 (Eastern Daylight Time),False,A1.0
202,0.0,0.0015,312,True,0,1,202,Wed Apr 04 2018 14:21:20 GMT-0500 (CDT),False,A1.0
203,0.0,0.0015,312,True,0,1,203,Fri Apr 06 2018 14:57:56 GMT-0700 (Pacific Daylight Time),False,A1.0
204,0.0,0.0015,312,True,1,1,204,Wed Apr 04 2018 15:36:27 GMT-0400 (Eastern Daylight Time),True,A1.0
205,0.0,0.0015,312,True,0,1,205,Wed Apr 04 2018 13:16:23 GMT-0700 (Pacific Daylight Time),False,A1.0
206,0.0,0.0015,312,True,0,1,206,Fri Apr 06 2018 20:16:42 GMT-0400 (Eastern Daylight Time),False,A1.0
207,0.45,0.0015,312,True,1,1,207,Thu Apr 05 2018 18:55:13 GMT-0400 (Eastern Daylight Time),True,A1.0
208,0.0,0.0015,312,True,1,1,208,Fri Apr 06 2018 22:10:50 GMT-0400 (EDT),True,A1.0
209,1.48,0.0015,312,True,1,1,209,Wed Apr 04 2018 15:23:53 GMT-0400 (EDT),True,A1.0
210,1.44,0.0015,312,True,0,1,210,Fri Apr 06 2018 20:19:30 GMT-0700 (PDT),False,A1.0
211,0.0,0.0015,312,True,0,1,211,Fri Apr 06 2018 20:21:00 GMT-0700 (PDT),False,A1.0
212,0.0,0.0015,312,True,0,1,212,Thu Apr 05 2018 22:33:12 GMT-0700 (Pacific Daylight Time),False,A1.0
213,0.0,0.0015,312,True,0,1,213,Fri Apr 06 2018 12:07:53 GMT-0700 (Pacific Daylight Time),False,A1.0
214,0.0,0.0015,312,True,0,1,214,Fri Apr 06 2018 22:20:24 GMT-0500 (Central Daylight Time),False,A1.0
215,0.0,0.0015,312,True,1,1,215,Wed Apr 04 2018 14:45:05 GMT-0500 (Central Daylight Time),True,A1.0
216,0.0,0.0015,312,True,1,1,216,Wed Apr 04 2018 17:31:23 GMT-0500 (Central Daylight Time),True,A1.0
217,0.0,0.0015,312,True,0,1,217,Fri Apr 06 2018 18:34:47 GMT-0400 (Eastern Daylight Time),False,A1.0
218,0.0,0.0015,312,True,0,1,218,Fri Apr 06 2018 22:38:18 GMT-0600 (MDT),False,A1.0
