PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,q_weights,score,test_idx,time_limit,version
none,0.0,0.01,False,0,24,4,False,after_each_move,1.25,none,18,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",,,True,1C.1
featureBased,1.87,0.01,True,1,24,4,True,after_each_move,1.25,full,19,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",186.75,"[7, 15, 1, 0, 11, 3]",True,1C.1
featureBased,1.38,0.01,True,1,24,4,True,after_each_move,1.25,full,20,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",137.75,"[0, 12, 1, 8, 3, 2]",True,1C.1
none,0.0,0.01,True,0,24,4,False,after_each_move,1.25,none,21,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",-32.0,"[8, 15, 4, 14, 12, 6]",True,1C.1
none,1.83,0.01,True,0,24,4,False,after_each_move,1.25,none,22,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",182.75,"[12, 7, 11, 15, 2, 1]",True,1C.1
featureBased,1.61,0.01,True,1,24,4,True,after_each_move,1.25,full,23,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",161.25,"[15, 9, 3, 11, 0, 13]",True,1C.1
featureBased,2.32,0.01,True,1,24,4,True,after_each_move,1.25,full,24,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",231.75,"[8, 2, 5, 3, 6, 11]",True,1C.1
demonstration,2.3,0.01,True,2,24,4,False,after_each_move,1.25,full,25,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",229.5,"[4, 0, 12, 14, 2, 6]",True,1C.1
demonstration,2.02,0.01,True,2,24,4,False,after_each_move,1.25,full,26,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",202.0,"[8, 13, 2, 0, 10, 12]",True,1C.1
demonstration,1.52,0.01,True,2,24,4,False,after_each_move,1.25,full,27,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",151.75,"[15, 2, 10, 8, 5, 13]",True,1C.1
none,1.89,0.01,True,0,24,4,False,after_each_move,1.25,none,28,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",188.5,"[13, 6, 2, 12, 14, 15]",True,1C.1
featureBased,1.88,0.01,True,1,24,4,True,after_each_move,1.25,full,29,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",188.25,"[3, 4, 10, 0, 9, 2]",True,1C.1
