p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_id,trial_type,view_history,pid
,,,,,,,,,,,,,,21546,,141815,,,instructions,"[{""page_index"":0,""viewing_time"":11085},{""page_index"":1,""viewing_time"":8548},{""page_index"":2,""viewing_time"":1913}]",86
,,,,,,,,,,,,,,77501,,77503,,,instructions,"[{""page_index"":0,""viewing_time"":30427},{""page_index"":1,""viewing_time"":31255},{""page_index"":2,""viewing_time"":15818}]",87
,,,,,,,,,,,,,,162398,,162402,,,instructions,"[{""page_index"":0,""viewing_time"":58661},{""page_index"":1,""viewing_time"":42629},{""page_index"":2,""viewing_time"":61105}]",88
,,,,,,,,,,,,,,79906,,79907,,,instructions,"[{""page_index"":0,""viewing_time"":22522},{""page_index"":1,""viewing_time"":43182},{""page_index"":2,""viewing_time"":14200}]",89
,,,,,,,,,,,,,,28395,,28396,,,instructions,"[{""page_index"":0,""viewing_time"":5891},{""page_index"":1,""viewing_time"":13347},{""page_index"":2,""viewing_time"":9155}]",90
,,,,,,,,,,,,,,88486,,131444,,,instructions,"[{""page_index"":0,""viewing_time"":32918},{""page_index"":1,""viewing_time"":30279},{""page_index"":2,""viewing_time"":25288}]",90
,,,,,,,,,,,,,,131870,,131873,,,instructions,"[{""page_index"":0,""viewing_time"":45680},{""page_index"":1,""viewing_time"":61633},{""page_index"":2,""viewing_time"":24555}]",91
,,,,,,,,,,,,,,95145,,95147,,,instructions,"[{""page_index"":0,""viewing_time"":31668},{""page_index"":1,""viewing_time"":39221},{""page_index"":2,""viewing_time"":24254}]",92
,,,,,,,,,,,,,,78730,,78731,,,instructions,"[{""page_index"":0,""viewing_time"":32769},{""page_index"":1,""viewing_time"":25072},{""page_index"":2,""viewing_time"":20887}]",93
,,,,,,,,,,,,,,247603,,247604,,,instructions,"[{""page_index"":0,""viewing_time"":69518},{""page_index"":1,""viewing_time"":130553},{""page_index"":2,""viewing_time"":22134},{""page_index"":1,""viewing_time"":3268},{""page_index"":2,""viewing_time"":22129}]",94
,,,,,,,,,,,,,,52231,,335024,,,instructions,"[{""page_index"":0,""viewing_time"":46365},{""page_index"":1,""viewing_time"":1858},{""page_index"":2,""viewing_time"":4008}]",94
,,,,,,,,,,,,,,124484,,124486,,,instructions,"[{""page_index"":0,""viewing_time"":52987},{""page_index"":1,""viewing_time"":45616},{""page_index"":2,""viewing_time"":25880}]",95
,,,,,,,,,,,,,,8119,,202452,,,instructions,"[{""page_index"":0,""viewing_time"":3798},{""page_index"":1,""viewing_time"":2800},{""page_index"":2,""viewing_time"":1520}]",95
,,,,,,,,,,,,,,176955,,176958,,,instructions,"[{""page_index"":0,""viewing_time"":30217},{""page_index"":1,""viewing_time"":27535},{""page_index"":2,""viewing_time"":23800},{""page_index"":1,""viewing_time"":1024},{""page_index"":0,""viewing_time"":56041},{""page_index"":1,""viewing_time"":28248},{""page_index"":2,""viewing_time"":10088}]",96
,,,,,,,,,,,,,,99617,,99619,,,instructions,"[{""page_index"":0,""viewing_time"":38073},{""page_index"":1,""viewing_time"":39015},{""page_index"":2,""viewing_time"":22527}]",97
,,,,,,,,,,,,,,42331,,184560,,,instructions,"[{""page_index"":0,""viewing_time"":22354},{""page_index"":1,""viewing_time"":14321},{""page_index"":2,""viewing_time"":5655}]",97
