action_times,actions,button_pressed,correct,delays,key_press,path,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
,,,,,,,,,,161992,,,161994,,,instructions,"[{""page_index"":0,""viewing_time"":40214},{""page_index"":1,""viewing_time"":42203},{""page_index"":2,""viewing_time"":50618},{""page_index"":3,""viewing_time"":28956}]",41
,,,,,,,,,,156125,,,156126,,,instructions,"[{""page_index"":0,""viewing_time"":105228},{""page_index"":1,""viewing_time"":10080},{""page_index"":2,""viewing_time"":40817}]",42
,,,,,,,,,,9349,,,205425,,,instructions,"[{""page_index"":0,""viewing_time"":2980},{""page_index"":1,""viewing_time"":4535},{""page_index"":2,""viewing_time"":1833}]",42
,,,,,,,,,,132554,,,132554,,,instructions,"[{""page_index"":0,""viewing_time"":80405},{""page_index"":1,""viewing_time"":19547},{""page_index"":2,""viewing_time"":13210},{""page_index"":3,""viewing_time"":19390}]",43
,,,,,,,,,,114993,,,114995,,,instructions,"[{""page_index"":0,""viewing_time"":19597},{""page_index"":1,""viewing_time"":35554},{""page_index"":2,""viewing_time"":36248},{""page_index"":3,""viewing_time"":23591}]",44
,,,,,,,,,,64518,,,267842,,,instructions,"[{""page_index"":0,""viewing_time"":14768},{""page_index"":1,""viewing_time"":8097},{""page_index"":2,""viewing_time"":35823},{""page_index"":3,""viewing_time"":5829}]",44
,,,,,,,,,,342313,,,342317,,,instructions,"[{""page_index"":0,""viewing_time"":101532},{""page_index"":1,""viewing_time"":2500},{""page_index"":0,""viewing_time"":1035},{""page_index"":1,""viewing_time"":8886},{""page_index"":0,""viewing_time"":8090},{""page_index"":1,""viewing_time"":63797},{""page_index"":2,""viewing_time"":83839},{""page_index"":3,""viewing_time"":72631}]",45
,,,,,,,,,,95968,,,95969,,,instructions,"[{""page_index"":0,""viewing_time"":38709},{""page_index"":1,""viewing_time"":39761},{""page_index"":2,""viewing_time"":17496}]",46
,,,,,,,,,,197100,,,197100,,,instructions,"[{""page_index"":0,""viewing_time"":72194},{""page_index"":1,""viewing_time"":49147},{""page_index"":2,""viewing_time"":35263},{""page_index"":3,""viewing_time"":40496}]",47
,,,,,,,,,,18613,,,248919,,,instructions,"[{""page_index"":0,""viewing_time"":5028},{""page_index"":1,""viewing_time"":10411},{""page_index"":2,""viewing_time"":2678},{""page_index"":3,""viewing_time"":496}]",47
,,,,,,,,,,154061,,,154063,,,instructions,"[{""page_index"":0,""viewing_time"":41363},{""page_index"":1,""viewing_time"":57214},{""page_index"":2,""viewing_time"":26050},{""page_index"":3,""viewing_time"":29434}]",48
,,,,,,,,,,36536,,,230203,,,instructions,"[{""page_index"":0,""viewing_time"":8272},{""page_index"":1,""viewing_time"":6985},{""page_index"":2,""viewing_time"":16193},{""page_index"":3,""viewing_time"":5086}]",48
,,,,,,,,,,188021,,,188022,,,instructions,"[{""page_index"":0,""viewing_time"":39088},{""page_index"":1,""viewing_time"":35422},{""page_index"":0,""viewing_time"":5547},{""page_index"":1,""viewing_time"":12490},{""page_index"":2,""viewing_time"":63715},{""page_index"":3,""viewing_time"":31749}]",49
,,,,,,,,,,94811,,,94811,,,instructions,"[{""page_index"":0,""viewing_time"":28749},{""page_index"":1,""viewing_time"":22605},{""page_index"":2,""viewing_time"":22228},{""page_index"":3,""viewing_time"":21228}]",50
,,,,,,,,,,74518,,,192513,,,instructions,"[{""page_index"":0,""viewing_time"":36021},{""page_index"":1,""viewing_time"":18123},{""page_index"":2,""viewing_time"":7423},{""page_index"":3,""viewing_time"":12948}]",50
,,,,,,,,,,70558,,,70562,,,instructions,"[{""page_index"":0,""viewing_time"":35381},{""page_index"":1,""viewing_time"":14754},{""page_index"":2,""viewing_time"":13447},{""page_index"":3,""viewing_time"":6972}]",51
,,,,,,,,,,114402,,,114404,,,instructions,"[{""page_index"":0,""viewing_time"":29009},{""page_index"":1,""viewing_time"":36576},{""page_index"":2,""viewing_time"":27019},{""page_index"":3,""viewing_time"":21796}]",52
,,,,,,,,,,16156,,,152487,,,instructions,"[{""page_index"":0,""viewing_time"":4942},{""page_index"":1,""viewing_time"":2304},{""page_index"":2,""viewing_time"":4805},{""page_index"":3,""viewing_time"":4104}]",52
,,,,,,,,,,3884,,,181678,,,instructions,"[{""page_index"":0,""viewing_time"":1215},{""page_index"":1,""viewing_time"":813},{""page_index"":2,""viewing_time"":809},{""page_index"":3,""viewing_time"":1046}]",52
,,,,,,,,,,79860,,,79861,,,instructions,"[{""page_index"":0,""viewing_time"":28153},{""page_index"":1,""viewing_time"":21275},{""page_index"":2,""viewing_time"":10672},{""page_index"":3,""viewing_time"":19760}]",53
,,,,,,,,,,225871,,,225872,,,instructions,"[{""page_index"":0,""viewing_time"":89755},{""page_index"":1,""viewing_time"":55672},{""page_index"":2,""viewing_time"":52036},{""page_index"":3,""viewing_time"":28407}]",54
,,,,,,,,,,76106,,,349401,,,instructions,"[{""page_index"":0,""viewing_time"":22033},{""page_index"":1,""viewing_time"":15412},{""page_index"":2,""viewing_time"":33032},{""page_index"":3,""viewing_time"":5628}]",54
,,,,,,,,,,78458,,,459564,,,instructions,"[{""page_index"":0,""viewing_time"":8570},{""page_index"":1,""viewing_time"":10966},{""page_index"":2,""viewing_time"":18147},{""page_index"":1,""viewing_time"":7076},{""page_index"":0,""viewing_time"":12954},{""page_index"":1,""viewing_time"":1306},{""page_index"":2,""viewing_time"":11408},{""page_index"":3,""viewing_time"":8030}]",54
,,,,,,,,,,33163,,,528361,,,instructions,"[{""page_index"":0,""viewing_time"":5939},{""page_index"":1,""viewing_time"":17580},{""page_index"":2,""viewing_time"":8831},{""page_index"":3,""viewing_time"":812}]",54
,,,,,,,,,,120552,,,120554,,,instructions,"[{""page_index"":0,""viewing_time"":35936},{""page_index"":1,""viewing_time"":27607},{""page_index"":2,""viewing_time"":31655},{""page_index"":3,""viewing_time"":25351}]",55
,,,,,,,,,,4873,,,159143,,,instructions,"[{""page_index"":0,""viewing_time"":1543},{""page_index"":1,""viewing_time"":864},{""page_index"":2,""viewing_time"":1348},{""page_index"":3,""viewing_time"":1117}]",55
