PR_type,bonus,completed,condition,feedback,frequencyOfFB,info_cost,message,pid,start_time,version
featureBased,1.9500000000000002,True,5,True,after_each_move,2.5,full,98,2017-06-28T23:01:11.715Z,1A.0
none,1.0965,True,0,False,after_each_move,0.01,none,99,2017-06-28T21:09:32.632Z,1A.0
none,0.0,True,2,False,after_each_move,2.5,none,100,2017-06-28T22:34:22.829Z,1A.0
none,1.8,True,1,False,after_each_move,1.0,none,101,2017-06-28T23:01:00.377Z,1A.0
featureBased,2.092,True,3,True,after_each_move,0.01,full,102,2017-06-28T23:48:06.523Z,1A.0
featureBased,0.25,True,5,True,after_each_move,2.5,full,103,2017-06-28T23:10:53.585Z,1A.0
none,1.6975000000000002,True,0,False,after_each_move,0.01,none,104,2017-06-28T22:56:29.308Z,1A.0
objectLevel,0.2,True,8,True,after_each_move,2.5,full,105,2017-06-28T20:20:30.762Z,1A.0
featureBased,1.3,True,4,True,after_each_move,1.0,full,106,2017-06-28T20:51:43.268Z,1A.0
featureBased,2.0,True,4,True,after_each_move,1.0,full,107,2017-06-28T21:21:58.033Z,1A.0
featureBased,1.6920000000000002,True,3,True,after_each_move,0.01,full,108,2017-06-28T20:20:47.651Z,1A.0
featureBased,2.15,True,4,True,after_each_move,1.0,full,109,2017-06-28T21:09:09.497Z,1A.0
none,1.8920000000000003,True,0,False,after_each_move,0.01,none,110,2017-06-28T20:30:34.416Z,1A.0
objectLevel,0.0,False,7,True,after_each_move,1.0,full,111,2017-06-28T20:37:37.988Z,1A.0
none,0.8500000000000001,True,1,False,after_each_move,1.0,none,112,2017-06-28T21:23:59.932Z,1A.0
featureBased,1.6920000000000002,True,3,True,after_each_move,0.01,full,113,2017-06-28T21:02:29.349Z,1A.0
featureBased,0.1,True,5,True,after_each_move,2.5,full,114,2017-06-28T21:02:52.745Z,1A.0
