p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
,,,,,,,,,,,,,,141205,,141206,,,instructions,"[{""page_index"":0,""viewing_time"":48439},{""page_index"":1,""viewing_time"":64549},{""page_index"":2,""viewing_time"":28216}]",71
,,,,,,,,,,,,,,117732,,117732,,,instructions,"[{""page_index"":0,""viewing_time"":49834},{""page_index"":1,""viewing_time"":46056},{""page_index"":2,""viewing_time"":21841}]",72
,,,,,,,,,,,,,,151438,,151438,,,instructions,"[{""page_index"":0,""viewing_time"":60729},{""page_index"":1,""viewing_time"":55192},{""page_index"":2,""viewing_time"":35516}]",73
,,,,,,,,,,,,,,124442,,124442,,,instructions,"[{""page_index"":0,""viewing_time"":31180},{""page_index"":1,""viewing_time"":35000},{""page_index"":2,""viewing_time"":58261}]",74
,,,,,,,,,,,,,,95185,,95187,,,instructions,"[{""page_index"":0,""viewing_time"":33485},{""page_index"":1,""viewing_time"":42252},{""page_index"":2,""viewing_time"":19448}]",75
,,,,,,,,,,,,,,118898,,118899,,,instructions,"[{""page_index"":0,""viewing_time"":52332},{""page_index"":1,""viewing_time"":36886},{""page_index"":2,""viewing_time"":29680}]",76
,,,,,,,,,,,,,,150703,,150704,,,instructions,"[{""page_index"":0,""viewing_time"":71162},{""page_index"":1,""viewing_time"":46481},{""page_index"":2,""viewing_time"":33060}]",77
,,,,,,,,,,,,,,96910,,284765,,,instructions,"[{""page_index"":0,""viewing_time"":19990},{""page_index"":1,""viewing_time"":26607},{""page_index"":2,""viewing_time"":23248},{""page_index"":1,""viewing_time"":4321},{""page_index"":0,""viewing_time"":16751},{""page_index"":1,""viewing_time"":1848},{""page_index"":0,""viewing_time"":1048},{""page_index"":1,""viewing_time"":1520},{""page_index"":2,""viewing_time"":1576}]",77
,,,,,,,,,,,,,,85761,,85761,,,instructions,"[{""page_index"":0,""viewing_time"":41649},{""page_index"":1,""viewing_time"":25977},{""page_index"":2,""viewing_time"":18134}]",78
,,,,,,,,,,,,,,47080,,179298,,,instructions,"[{""page_index"":0,""viewing_time"":10308},{""page_index"":1,""viewing_time"":12208},{""page_index"":2,""viewing_time"":24564}]",78
,,,,,,,,,,,,,,49689,,251841,,,instructions,"[{""page_index"":0,""viewing_time"":31360},{""page_index"":1,""viewing_time"":11146},{""page_index"":2,""viewing_time"":7183}]",78
,,,,,,,,,,,,,,97888,,365314,,,instructions,"[{""page_index"":0,""viewing_time"":2142},{""page_index"":1,""viewing_time"":1936},{""page_index"":2,""viewing_time"":5940},{""page_index"":1,""viewing_time"":35925},{""page_index"":2,""viewing_time"":12913},{""page_index"":1,""viewing_time"":671},{""page_index"":0,""viewing_time"":36836},{""page_index"":1,""viewing_time"":685},{""page_index"":2,""viewing_time"":840}]",78
,,,,,,,,,,,,,,21330,,21331,,,instructions,"[{""page_index"":0,""viewing_time"":9082},{""page_index"":1,""viewing_time"":9680},{""page_index"":2,""viewing_time"":2567}]",79
,,,,,,,,,,,,,,16318,,61107,,,instructions,"[{""page_index"":0,""viewing_time"":3036},{""page_index"":1,""viewing_time"":3088},{""page_index"":2,""viewing_time"":10193}]",79
,,,,,,,,,,,,,,25182,,97715,,,instructions,"[{""page_index"":0,""viewing_time"":5173},{""page_index"":1,""viewing_time"":17336},{""page_index"":2,""viewing_time"":2672}]",79
,,,,,,,,,,,,,,85256,,85257,,,instructions,"[{""page_index"":0,""viewing_time"":37367},{""page_index"":1,""viewing_time"":28128},{""page_index"":2,""viewing_time"":19760}]",80
,,,,,,,,,,,,,,60304,,60305,,,instructions,"[{""page_index"":0,""viewing_time"":10871},{""page_index"":1,""viewing_time"":18039},{""page_index"":2,""viewing_time"":31392}]",81
,,,,,,,,,,,,,,122981,,208385,,,instructions,"[{""page_index"":0,""viewing_time"":58028},{""page_index"":1,""viewing_time"":50032},{""page_index"":2,""viewing_time"":14920}]",81
,,,,,,,,,,,,,,136457,,136458,,,instructions,"[{""page_index"":0,""viewing_time"":62743},{""page_index"":1,""viewing_time"":37354},{""page_index"":2,""viewing_time"":36360}]",82
,,,,,,,,,,,,,,259215,,259218,,,instructions,"[{""page_index"":0,""viewing_time"":88285},{""page_index"":1,""viewing_time"":109956},{""page_index"":2,""viewing_time"":60971}]",83
,,,,,,,,,,,,,,139891,,139892,,,instructions,"[{""page_index"":0,""viewing_time"":55837},{""page_index"":1,""viewing_time"":55422},{""page_index"":2,""viewing_time"":28632}]",84
,,,,,,,,,,,,,,125505,,125505,,,instructions,"[{""page_index"":0,""viewing_time"":62177},{""page_index"":1,""viewing_time"":44468},{""page_index"":2,""viewing_time"":18857}]",85
