pid,temp,p_error,logp,satisfice,prune,model,trial_idx,k
314,1e-10,1.0,-9.750336373041954,,,random,15,0
314,1e-10,0.97,-9.746403815691757,5.0,-30.0,depth_first,16,3
314,1e-10,0.3,-6.166817434585845,5.0,-30.0,breadth_first,16,3
314,1e-10,0.97,-9.746403815691757,5.0,-30.0,progressive_deepening,16,3
314,5.689866029018292,0.33,-7.501424713284795,5.0,-30.0,best_first,16,4
314,1e-05,1.0,-9.750336373041954,,,optimal,16,2
314,1e-10,1.0,-9.750336373041954,,,random,16,0
314,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,17,3
314,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,17,3
314,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,17,3
314,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,17,4
314,1e-05,1.0,-2.5649493574615367,,,optimal,17,2
314,1e-10,1.0,-2.5649493574615367,,,random,17,0
314,1e-10,0.97,-9.746403815691757,5.0,-30.0,depth_first,18,3
314,1e-10,0.3,-6.166817434585845,5.0,-30.0,breadth_first,18,3
314,1e-10,0.97,-9.746403815691757,5.0,-30.0,progressive_deepening,18,3
314,10.0,0.34,-7.589357113400402,5.0,-30.0,best_first,18,4
