,action,pid,state,trial_id,trial_index
136,12,3,"(0, Cat, Cat, 24, -48, Cat, Cat, -48, -48, Cat, Cat, -48, Cat)",-2147483648,26
137,13,3,"(0, Cat, Cat, 24, -48, Cat, Cat, -48, -48, Cat, Cat, -48, 48)",-2147483648,26
138,3,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,27
139,4,3,"(0, Cat, Cat, 24, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,27
140,11,3,"(0, Cat, Cat, 24, -48, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,27
141,12,3,"(0, Cat, Cat, 24, -48, Cat, Cat, Cat, Cat, Cat, Cat, -48, Cat)",-2147483648,27
142,7,3,"(0, Cat, Cat, 24, -48, Cat, Cat, Cat, Cat, Cat, Cat, -48, 24)",-2147483648,27
143,8,3,"(0, Cat, Cat, 24, -48, Cat, Cat, -24, Cat, Cat, Cat, -48, 24)",-2147483648,27
144,2,3,"(0, Cat, Cat, 24, -48, Cat, Cat, -24, -24, Cat, Cat, -48, 24)",-2147483648,27
145,1,3,"(0, Cat, -4, 24, -48, Cat, Cat, -24, -24, Cat, Cat, -48, 24)",-2147483648,27
146,9,3,"(0, -2, -4, 24, -48, Cat, Cat, -24, -24, Cat, Cat, -48, 24)",-2147483648,27
147,10,3,"(0, -2, -4, 24, -48, Cat, Cat, -24, -24, 4, Cat, -48, 24)",-2147483648,27
148,13,3,"(0, -2, -4, 24, -48, Cat, Cat, -24, -24, 4, -4, -48, 24)",-2147483648,27
149,7,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,28
150,8,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, -48, Cat, Cat, Cat, Cat, Cat)",-2147483648,28
151,3,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, -48, 24, Cat, Cat, Cat, Cat)",-2147483648,28
152,13,3,"(0, Cat, Cat, 48, Cat, Cat, Cat, -48, 24, Cat, Cat, Cat, Cat)",-2147483648,28
153,3,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,29
154,4,3,"(0, Cat, Cat, -48, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,29
155,11,3,"(0, Cat, Cat, -48, -48, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,29
156,13,3,"(0, Cat, Cat, -48, -48, Cat, Cat, Cat, Cat, Cat, Cat, 48, Cat)",-2147483648,29
157,4,6,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,0
158,2,6,"(0, Cat, Cat, Cat, -24, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,0
159,3,6,"(0, Cat, -4, Cat, -24, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,0
160,1,6,"(0, Cat, -4, 48, -24, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,0
161,9,6,"(0, -2, -4, 48, -24, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,0
162,10,6,"(0, -2, -4, 48, -24, Cat, Cat, Cat, Cat, -2, Cat, Cat, Cat)",-2147483648,0
163,11,6,"(0, -2, -4, 48, -24, Cat, Cat, Cat, Cat, -2, -8, Cat, Cat)",-2147483648,0
164,12,6,"(0, -2, -4, 48, -24, Cat, Cat, Cat, Cat, -2, -8, -24, Cat)",-2147483648,0
165,5,6,"(0, -2, -4, 48, -24, Cat, Cat, Cat, Cat, -2, -8, -24, -24)",-2147483648,0
166,6,6,"(0, -2, -4, 48, -24, 2, Cat, Cat, Cat, -2, -8, -24, -24)",-2147483648,0
167,7,6,"(0, -2, -4, 48, -24, 2, -4, Cat, Cat, -2, -8, -24, -24)",-2147483648,0
168,8,6,"(0, -2, -4, 48, -24, 2, -4, 48, Cat, -2, -8, -24, -24)",-2147483648,0
169,13,6,"(0, -2, -4, 48, -24, 2, -4, 48, 24, -2, -8, -24, -24)",-2147483648,0
170,9,6,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,1
171,10,6,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, -4, Cat, Cat, Cat)",-2147483648,1
172,12,6,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, -4, -4, Cat, Cat)",-2147483648,1
173,11,6,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, -4, -4, Cat, 48)",-2147483648,1
174,1,6,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, -4, -4, 48, 48)",-2147483648,1
175,4,6,"(0, 2, Cat, Cat, Cat, Cat, Cat, Cat, Cat, -4, -4, 48, 48)",-2147483648,1
176,2,6,"(0, 2, Cat, Cat, -24, Cat, Cat, Cat, Cat, -4, -4, 48, 48)",-2147483648,1
177,3,6,"(0, 2, -4, Cat, -24, Cat, Cat, Cat, Cat, -4, -4, 48, 48)",-2147483648,1
178,7,6,"(0, 2, -4, -24, -24, Cat, Cat, Cat, Cat, -4, -4, 48, 48)",-2147483648,1
179,6,6,"(0, 2, -4, -24, -24, Cat, Cat, -48, Cat, -4, -4, 48, 48)",-2147483648,1
180,8,6,"(0, 2, -4, -24, -24, Cat, -8, -48, Cat, -4, -4, 48, 48)",-2147483648,1
181,5,6,"(0, 2, -4, -24, -24, Cat, -8, -48, -48, -4, -4, 48, 48)",-2147483648,1
182,13,6,"(0, 2, -4, -24, -24, 4, -8, -48, -48, -4, -4, 48, 48)",-2147483648,1
183,11,6,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,2
184,12,6,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, -24, Cat)",-2147483648,2
185,4,6,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, -24, 48)",-2147483648,2
186,3,6,"(0, Cat, Cat, Cat, -48, Cat, Cat, Cat, Cat, Cat, Cat, -24, 48)",-2147483648,2
187,7,6,"(0, Cat, Cat, -48, -48, Cat, Cat, Cat, Cat, Cat, Cat, -24, 48)",-2147483648,2
188,8,6,"(0, Cat, Cat, -48, -48, Cat, Cat, 24, Cat, Cat, Cat, -24, 48)",-2147483648,2
189,5,6,"(0, Cat, Cat, -48, -48, Cat, Cat, 24, 24, Cat, Cat, -24, 48)",-2147483648,2
190,6,6,"(0, Cat, Cat, -48, -48, -4, Cat, 24, 24, Cat, Cat, -24, 48)",-2147483648,2
191,9,6,"(0, Cat, Cat, -48, -48, -4, 4, 24, 24, Cat, Cat, -24, 48)",-2147483648,2
192,10,6,"(0, Cat, Cat, -48, -48, -4, 4, 24, 24, -2, Cat, -24, 48)",-2147483648,2
193,13,6,"(0, Cat, Cat, -48, -48, -4, 4, 24, 24, -2, -8, -24, 48)",-2147483648,2
194,12,6,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,3
195,11,6,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, -48)",-2147483648,3
196,4,6,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, 24, -48)",-2147483648,3
197,3,6,"(0, Cat, Cat, Cat, -48, Cat, Cat, Cat, Cat, Cat, Cat, 24, -48)",-2147483648,3
198,7,6,"(0, Cat, Cat, 24, -48, Cat, Cat, Cat, Cat, Cat, Cat, 24, -48)",-2147483648,3
199,8,6,"(0, Cat, Cat, 24, -48, Cat, Cat, 24, Cat, Cat, Cat, 24, -48)",-2147483648,3
200,1,6,"(0, Cat, Cat, 24, -48, Cat, Cat, 24, -48, Cat, Cat, 24, -48)",-2147483648,3
201,2,6,"(0, 2, Cat, 24, -48, Cat, Cat, 24, -48, Cat, Cat, 24, -48)",-2147483648,3
202,9,6,"(0, 2, -4, 24, -48, Cat, Cat, 24, -48, Cat, Cat, 24, -48)",-2147483648,3
203,10,6,"(0, 2, -4, 24, -48, Cat, Cat, 24, -48, 2, Cat, 24, -48)",-2147483648,3
204,5,6,"(0, 2, -4, 24, -48, Cat, Cat, 24, -48, 2, 4, 24, -48)",-2147483648,3
205,6,6,"(0, 2, -4, 24, -48, -2, Cat, 24, -48, 2, 4, 24, -48)",-2147483648,3
206,13,6,"(0, 2, -4, 24, -48, -2, -8, 24, -48, 2, 4, 24, -48)",-2147483648,3
207,9,6,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,4
208,10,6,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, -2, Cat, Cat, Cat)",-2147483648,4
209,4,6,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, -2, 8, Cat, Cat)",-2147483648,4
210,3,6,"(0, Cat, Cat, Cat, -24, Cat, Cat, Cat, Cat, -2, 8, Cat, Cat)",-2147483648,4
211,7,6,"(0, Cat, Cat, -48, -24, Cat, Cat, Cat, Cat, -2, 8, Cat, Cat)",-2147483648,4
212,8,6,"(0, Cat, Cat, -48, -24, Cat, Cat, 24, Cat, -2, 8, Cat, Cat)",-2147483648,4
213,12,6,"(0, Cat, Cat, -48, -24, Cat, Cat, 24, -48, -2, 8, Cat, Cat)",-2147483648,4
214,11,6,"(0, Cat, Cat, -48, -24, Cat, Cat, 24, -48, -2, 8, Cat, -24)",-2147483648,4
215,13,6,"(0, Cat, Cat, -48, -24, Cat, Cat, 24, -48, -2, 8, 48, -24)",-2147483648,4
216,12,6,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,5
217,11,6,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, 48)",-2147483648,5
