PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,q_weights,score,test_idx,time_limit,version
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,188,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",-36.0,"[3, 15, 5, 14, 10, 0]",True,1.6
objectLevel,1.77,0.01,True,7,24,4,True,after_each_move,1.0,full,189,"[1.9484115264310722, 0.4288647055137153, 0.269370854918958, 0.44258532182537325, 0.9912367388407017]",177.0,"[6, 9, 8, 3, 13, 12]",True,1.6
none,0.28,0.01,True,2,24,4,False,after_each_move,4.0,none,190,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",28.0,"[15, 12, 6, 2, 3, 10]",True,1.6
none,1.88,0.01,True,0,24,4,False,after_each_move,0.25,none,191,"[2.3252393134113225, 0.09975155227317743, 0.08032182729437333, 0.8450937421220647, 0.997435322775085]",188.0,"[10, 11, 3, 6, 12, 9]",True,1.6
featureBased,2.08,0.01,True,4,24,4,True,after_each_move,1.0,full,192,"[1.9484115264310722, 0.4288647055137153, 0.269370854918958, 0.44258532182537325, 0.9912367388407017]",208.0,"[15, 11, 6, 5, 0, 9]",True,1.6
objectLevel,3.29,0.01,True,6,24,4,True,after_each_move,0.25,full,193,"[2.3252393134113225, 0.09975155227317743, 0.08032182729437333, 0.8450937421220647, 0.997435322775085]",328.75,"[4, 5, 2, 12, 7, 0]",True,1.6
none,2.02,0.01,True,1,24,4,False,after_each_move,1.0,none,194,"[1.9484115264310722, 0.4288647055137153, 0.269370854918958, 0.44258532182537325, 0.9912367388407017]",202.0,"[10, 14, 15, 3, 8, 11]",True,1.6
featureBased,0.88,0.01,True,5,24,4,True,after_each_move,4.0,full,195,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",88.0,"[6, 1, 13, 11, 10, 4]",True,1.6
objectLevel,2.05,0.01,True,7,24,4,True,after_each_move,1.0,full,196,"[1.9484115264310722, 0.4288647055137153, 0.269370854918958, 0.44258532182537325, 0.9912367388407017]",205.0,"[15, 9, 3, 8, 12, 6]",True,1.6
objectLevel,0.0,0.01,True,8,24,4,True,after_each_move,4.0,full,197,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",-344.0,"[12, 5, 1, 9, 4, 11]",True,1.6
objectLevel,2.47,0.01,True,7,24,4,True,after_each_move,1.0,full,198,"[1.9484115264310722, 0.4288647055137153, 0.269370854918958, 0.44258532182537325, 0.9912367388407017]",247.0,"[5, 3, 7, 0, 15, 13]",True,1.6
none,0.0,0.01,True,1,24,4,False,after_each_move,1.0,none,199,"[1.9484115264310722, 0.4288647055137153, 0.269370854918958, 0.44258532182537325, 0.9912367388407017]",-80.0,"[9, 10, 13, 14, 12, 15]",True,1.6
objectLevel,0.0,0.01,True,8,24,4,True,after_each_move,4.0,full,200,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",-16.0,"[2, 12, 4, 6, 8, 14]",True,1.6
featureBased,0.0,0.01,False,5,24,4,True,after_each_move,4.0,full,201,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",,,True,1.6
objectLevel,0.77,0.01,True,7,24,4,True,after_each_move,1.0,full,202,"[1.9484115264310722, 0.4288647055137153, 0.269370854918958, 0.44258532182537325, 0.9912367388407017]",77.0,"[12, 3, 15, 1, 9, 2]",True,1.6
none,0.12,0.01,True,2,24,4,False,after_each_move,4.0,none,203,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",12.0,"[6, 8, 2, 14, 7, 11]",True,1.6
objectLevel,0.0,0.01,False,8,24,4,True,after_each_move,4.0,full,204,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",,,True,1.6
