PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,q_weights,score,test_idx,time_limit,version
featureBased,0.91,0.01,True,2,24,4,True,after_each_move,1.25,full,91,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",91.25,"[15, 10, 3, 13, 4, 6]",True,2.3
featureBased,1.97,0.01,True,2,24,4,True,after_each_move,1.25,full,92,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",197.0,"[8, 1, 5, 2, 13, 12]",True,2.3
none,2.57,0.01,True,0,24,4,False,after_each_move,1.25,full,93,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",257.0,"[12, 1, 8, 0, 5, 6]",True,2.3
none,0.38,0.01,True,0,24,4,False,after_each_move,1.25,full,94,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",37.5,"[2, 9, 11, 15, 10, 8]",True,2.3
featureBased,1.89,0.01,True,2,24,4,True,after_each_move,1.25,full,95,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",189.25,"[8, 10, 4, 1, 11, 12]",True,2.3
none,1.59,0.01,True,0,24,4,False,after_each_move,1.25,full,96,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",159.25,"[10, 9, 6, 12, 3, 15]",True,2.3
featureBased,1.69,0.01,True,3,24,4,True,after_each_move,1.25,simple,97,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",168.75,"[8, 5, 0, 9, 6, 3]",True,2.3
featureBased,1.83,0.01,True,3,24,4,True,after_each_move,1.25,simple,98,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",183.25,"[0, 2, 3, 15, 14, 8]",True,2.3
none,2.06,0.01,True,0,24,4,False,after_each_move,1.25,full,99,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",205.75,"[11, 7, 9, 15, 3, 1]",True,2.3
featureBased,0.0,0.01,False,3,24,4,True,after_each_move,1.25,simple,100,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",,,True,2.3
none,1.52,0.01,True,0,24,4,False,after_each_move,1.25,full,101,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",152.0,"[11, 4, 12, 8, 7, 5]",True,2.3
featureBased,2.27,0.01,True,2,24,4,True,after_each_move,1.25,full,102,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",226.5,"[4, 3, 9, 2, 0, 13]",True,2.3
featureBased,0.0,0.01,False,3,24,4,True,after_each_move,1.25,simple,103,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",,,True,2.3
featureBased,1.66,0.01,True,3,24,4,True,after_each_move,1.25,simple,104,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",165.75,"[15, 8, 10, 4, 9, 14]",True,2.3
featureBased,1.9,0.01,True,3,24,4,True,after_each_move,1.25,simple,105,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",189.5,"[13, 0, 1, 4, 5, 11]",True,2.3
featureBased,2.0,0.01,True,2,24,4,True,after_each_move,1.25,full,106,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",200.0,"[10, 7, 9, 5, 2, 3]",True,2.3
featureBased,1.94,0.01,True,2,24,4,True,after_each_move,1.25,full,107,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",194.0,"[13, 10, 0, 5, 12, 6]",True,2.3
featureBased,0.11,0.01,True,3,24,4,True,after_each_move,1.25,simple,108,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",11.25,"[13, 14, 10, 8, 1, 7]",True,2.3
none,1.72,0.01,True,0,24,4,False,after_each_move,1.25,full,109,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",172.0,"[9, 5, 13, 11, 1, 8]",True,2.3
featureBased,2.02,0.01,True,2,24,4,True,after_each_move,1.25,full,110,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",202.25,"[5, 11, 14, 7, 6, 12]",True,2.3
none,2.35,0.01,True,0,24,4,False,after_each_move,1.25,full,111,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",234.75,"[11, 12, 9, 1, 13, 5]",True,2.3
featureBased,2.21,0.01,True,2,24,4,True,after_each_move,1.25,full,112,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",221.0,"[8, 1, 7, 10, 3, 12]",True,2.3
none,2.19,0.01,True,1,24,4,False,after_each_move,1.25,simple,113,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",218.75,"[8, 12, 11, 5, 15, 10]",True,2.3
featureBased,2.13,0.01,True,2,24,4,True,after_each_move,1.25,full,114,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",212.5,"[9, 6, 5, 12, 8, 7]",True,2.3
