,pid,info_cost,PR_type,message,trial_index,trial_i,delays,score,n_click,clicks,click_times,path,action_times
81,5,1,demonstration,full,2,5,[],41.0,6,"[2, 3, 6, 4, 7, 12]","[1006, 2006, 3005, 4005, 5005, 8005]","[1, 3, 7, 12]","[6002, 7001, 9001]"
82,5,1,demonstration,full,3,10,[],47.0,6,"[2, 3, 4, 6, 11, 10]","[1006, 2005, 3004, 4005, 7005, 8005]","[1, 2, 6, 10]","[5002, 6001, 9001]"
83,5,1,demonstration,full,4,9,[],44.0,7,"[2, 3, 4, 8, 5, 9, 16]","[1006, 2004, 3004, 4005, 5004, 6004, 9005]","[1, 5, 9, 17]","[7001, 8001, 10000]"
84,5,1,demonstration,full,5,14,[],47.0,5,"[2, 3, 4, 7, 12]","[1005, 2005, 3005, 4004, 7005]","[1, 3, 7, 12]","[5001, 6001, 8001]"
85,5,1,demonstration,full,6,7,[],21.0,7,"[2, 3, 4, 6, 5, 7, 15]","[1006, 2005, 3005, 4006, 5005, 6006, 9007]","[1, 4, 8, 14]","[7001, 8001, 10002]"
86,5,1,demonstration,full,7,11,[],17.0,11,"[2, 3, 4, 5, 7, 6, 9, 8, 16, 17, 11]","[1005, 2005, 3003, 4004, 5004, 6002, 7005, 8004, 9005, 10004, 13005]","[1, 2, 6, 11]","[11001, 12000, 14001]"
87,5,1,demonstration,full,8,13,[],47.0,3,"[2, 3, 12]","[1005, 2004, 5004]","[1, 3, 7, 12]","[3001, 4001, 6001]"
88,5,1,demonstration,full,9,3,[],49.0,6,"[2, 6, 3, 4, 7, 12]","[1005, 2004, 3004, 4005, 5004, 8004]","[1, 3, 7, 13]","[6002, 7001, 9001]"
89,5,1,demonstration,full,10,4,[],49.0,6,"[2, 6, 3, 4, 7, 12]","[1004, 2004, 3004, 4004, 5004, 8006]","[1, 3, 7, 13]","[6000, 7001, 9001]"
90,5,1,demonstration,full,11,12,[],36.0,6,"[4, 3, 2, 5, 7, 13]","[4049, 5646, 7438, 9121, 17805, 26387]","[1, 3, 7, 13]","[12476, 20565, 29643]"
91,5,1,demonstration,full,12,2,[],47.0,8,"[3, 4, 5, 2, 6, 8, 7, 13]","[2692, 4045, 5259, 6589, 9625, 11263, 13831, 19341]","[1, 3, 7, 13]","[16098, 17038, 21054]"
92,5,1,demonstration,full,13,6,[],13.0,8,"[3, 4, 5, 2, 7, 9, 13, 12]","[4646, 5903, 7257, 8800, 10679, 12546, 18259, 19766]","[1, 3, 7, 13]","[15099, 15854, 23153]"
93,5,1,demonstration,full,14,15,[],42.0,7,"[3, 4, 2, 5, 7, 9, 12]","[3633, 4939, 6360, 7779, 11087, 12987, 15744]","[1, 3, 7, 12]","[19671, 20410, 21448]"
94,5,1,demonstration,full,15,1,[],32.0,8,"[3, 4, 5, 2, 7, 9, 12, 13]","[10011, 11187, 12512, 13931, 15716, 17194, 19841, 21283]","[1, 3, 7, 13]","[23479, 24370, 25564]"
95,5,1,demonstration,full,16,8,[],48.0,10,"[3, 4, 5, 2, 9, 16, 17, 6, 10, 11]","[2480, 3913, 5252, 6539, 8182, 9897, 11485, 13781, 16012, 19882]","[1, 2, 6, 11]","[22184, 23398, 24632]"
96,6,1,featureBased,full,1,13,"[26, 0, 7]",-15.0,0,[],[],"[1, 5, 9, 17]","[4645, 38456, 41520]"
97,6,1,featureBased,full,2,12,"[26, 0, 7]",7.0,0,[],[],"[1, 2, 6, 11]","[3801, 33376, 38735]"
98,6,1,featureBased,full,3,8,"[8, 3, 0]",55.0,3,"[2, 11, 10]","[2628, 18044, 20866]","[1, 2, 6, 11]","[4870, 21902, 28050]"
99,6,1,featureBased,full,4,2,"[6, 3, 0]",52.0,3,"[3, 13, 12]","[3579, 14860, 15618]","[1, 3, 7, 13]","[5390, 16606, 22395]"
100,6,1,featureBased,full,5,5,"[7, 3, 3]",-5.0,6,"[4, 2, 5, 3, 16, 17]","[3880, 7151, 8799, 9631, 22692, 23477]","[1, 5, 9, 17]","[11147, 24703, 29782]"
