,Unnamed: 0,id,,condition,score,norm_score
1021,3672,A1IO30MPZ8WEYN:33LK57MYLUCDH1KKNXEXCZDFRZCSZ4,,2,838,-51
1028,3679,A23FEELMFHLC9K:3JMSRU9HQJ1VYYASL55P2CW42XXEVP,,2,557,-194
1035,3686,AU1A3DACBNFR3:39GXDJN2OULEPX0182JPA20IRUZ8VK,,0,320,-430
1041,3692,A242WNS5S5CHOY:36ZN444YTS5COJ3HGC92SZ0OYX7IO0,,1,113,-536
1048,3699,A104V8NZIQFN2F:32EYX73OY1GKUNQX2LFK5XT43FEURT,,1,821,-17
1055,3706,A2Y0G20STAP4DC:3XM0HYN6NL6ITEDWZTWQWK7MG9WEP4,,2,480,-158
1062,3713,A1GB1M0AGS1YSB:3OUYGIZWR85J2OY2RMXBBV5IM8N0P5,,0,83,-671
1068,3719,A8U36CWL6V8K6:3HUTX6F6VVU8DYPFR9OA5JT791AO2V,,2,74,-794
1075,3726,AXPBPXPFGL1VH:386CSBG1O0TZGBLWTOSHK15J47UQ6M,,1,274,-611
1082,3733,A2JJF5OFND2KL5:3JCG6DTRV4XSQT4G8X6FQ6MA486QQJ,,0,1,-648
1088,3739,A2KW17G25L25R8:3QBD8R3Z22QIGC42VN7YYYQ5TF6O4R,,2,359,-395
1095,3746,A1NWLJ1UHISO1E:32Z9ZLUT1MRCSOSXAURHSNZ9YKSOHD,,0,176,-799
1101,3752,A36GTTPW17HUL1:3JRJSWSMQISBMP891VZJJH4LBD4E3S,,1,256,-465
1108,3759,A3HCNFSTUQ34ZN:33UKMF931ARIAPO065U50G8K8M4TTE,,0,711,-10
1114,3765,A3FXVNZ5VG98IP:3YOH7BII0AEYKY22HRGS0799MUTVKQ,,2,-191,-945
1121,3772,A1D4QB5UOS8PHW:33OOO72IVIS1O8MPKJZFB68GK04TCV,,1,-71,-939
1128,3779,AKBJ0ZWRYJH16:33FOTY3KENS0FOAGI0F550PLSHDC15,,0,-150,-799
1134,3785,ABYL4723YUEFI:3FQ5JJ512MVLCTTTF0U1QQFW0RRNK1,,2,669,-85
1141,3792,A3K00L9I9L92BJ:3QUO65DNQVVHXAYHATYGB2OZSSTOUD,,2,737,-31
1148,3799,A2OK7UBINXYAYB:32UTUBMZ7H3XRVY8BE3Z14QJZ0KVB6,,1,829,-60
1155,3806,A2TZAXWOB3JMNV:3JV9LGBJWULYSSXMQO9Z7NN8JKFOGE,,2,886,-89
1162,3813,A12WCK58YDGTKB:32VNZTT0A8BLDPWINFO2STVA42QR43,,2,638,0
1169,3820,A1EWA8X6KNU30M:3U8YCDAGXQN420ZHRZC0B0VSR490QW,,1,932,-43
1176,3827,A2AGDF3VY0L1QP:3OHYZ19UGDCXI1KJ4OHPB1C5LP2OA2,,2,486,-158
1183,3834,A3P57IUDHUKNCE:34S9DKFK74WGWYIAJFVSZYU7Y60NYW,,2,-137,-888
1190,3841,A3OXTZFAHGWR1I:3Z3ZLGNNSJ10JSYEAMUJDYTZUGT3QU,,1,558,-86
1197,3852,A3L9K9DZI8LFM4:3PEIJLRY6U0HJN1E6K0DC30PPCAXWR,,2,687,-34
1204,3859,A9BVDYQU2VTIJ:3SNLUL3WO5U9RPVKX1IOJLK5XNPLUU,,1,498,-70
1211,3866,A2S64AUN7JI7ZS:3JWH6J9I9TKKJQPZ9NH8RNW6DXIBN5,,2,552,-92
1218,3873,A1JYV5XLCDFRTQ:32SCWG5HIIBEGZKHTBDSKWF9ZB86PB,,1,528,-193
1225,3880,A39EH9228GV09X:3R5F3LQFV3RYJ9SRGGXOSU3EUA8ZOD,,1,165,-473
1232,3891,A3MBZBRLV92W6:3IRIK4HM3BRVMABDO6RM0WG20SU6CY,,1,383,-385
1239,3898,A182N7RLXGSCZG:3AAPLD8UCDOS5GX56BDGMX5WXS9TH4,,0,-66,-710
